22	17	12	25	2	5	8
3	1	21	10	23	6	15
1	5	28	30	2	16	12
24	6	30	8	32	29	13
15	17	27	18	23	20	1
14	15	20	26	16	4	5
13	3	25	19	1	26	10
27	24	16	4	33	26	11
29	20	1	12	23	24	8
19	32	28	17	10	27	4
22	25	2	29	32	33	8
7	31	27	33	18	9	6
1	11	23	10	5	21	16
24	8	6	31	3	29	9
32	3	7	2	10	9	13
4	5	15	1	9	17	6
10	25	5	9	8	20	13
12	4	26	11	21	10	13
31	7	11	16	33	19	10
8	10	27	22	12	15	13
5	31	6	23	4	7	16
26	23	22	25	5	14	14
8	18	30	4	12	17	10
23	33	26	11	28	32	10
4	2	14	15	30	26	4
1	2	16	10	9	24	3
8	7	14	12	15	30	16
31	16	29	15	12	26	2
2	29	19	6	4	24	11
4	18	27	29	20	22	6
27	8	30	24	20	31	3
28	15	32	1	5	24	7
30	11	18	2	33	23	13
6	2	31	22	20	4	7
17	20	25	12	26	13	12
7	6	30	31	2	1	10
14	21	20	25	31	12	16
25	5	12	13	2	33	7
17	21	2	7	9	25	1
32	18	23	14	25	7	15
23	26	10	21	11	7	6
19	23	14	9	11	17	12
23	22	16	19	29	27	11
26	13	18	7	3	23	16
15	32	24	27	3	10	8
19	9	31	26	18	32	16
19	14	4	28	5	1	16
27	31	12	18	26	10	3
14	4	22	33	32	25	2
30	28	17	14	33	4	7
12	9	32	14	19	28	1
6	14	11	21	5	20	10
8	19	26	10	30	28	4
27	12	1	7	17	11	5
17	33	9	7	12	8	16
14	16	15	30	32	1	9
33	25	6	11	32	10	5
3	5	16	18	23	24	15
1	5	3	20	25	27	4
33	26	21	28	12	14	12
16	33	1	3	15	9	15
2	22	26	17	29	33	10
4	22	16	17	9	29	15
2	11	12	14	24	32	14
4	6	23	28	27	25	1
9	10	29	20	16	25	9
5	15	10	16	4	13	12
21	5	31	13	1	27	11
10	23	29	6	31	19	6
23	21	7	31	11	32	5
26	21	27	12	10	13	14
21	3	7	22	32	20	5
26	20	9	17	21	19	16
14	13	4	19	1	7	15
7	3	10	24	8	23	5
11	9	12	19	18	17	5
23	13	11	4	30	7	9
17	32	31	5	10	26	4
28	21	9	30	23	15	3
25	18	5	2	21	14	16
24	11	29	30	2	1	12
20	17	9	3	29	21	4
5	18	4	3	2	28	1
12	24	6	17	9	7	9
3	24	11	6	31	21	10
32	12	16	18	10	9	15
7	28	29	16	18	24	6
